vintage,collateral_type,ead_eur,ltv_at_default,dpd_at_workout,workout_months,borrower_age,employment_status,unemployment_pct,hpi_yoy_pct,realised_lgd
2022H1,mortgage,122455.73,0.467,106,30.39,51,employed,7.4,3.1,0.0721
2021H1,auto,19464.39,0.7479,154,13.32,59,employed,8.7,1.4,0.27605
2022H2,mortgage,60117.34,0.5746,96,17.94,51,employed,8.1,-4.4,0.16177
2019H2,auto,8886.69,0.8647,137,11.4,57,employed,6.9,3.8,0.28424
2021H2,mortgage,298067.11,0.9528,164,21.03,59,employed,7.9,5.6,0.21903
2019H1,mortgage,67508.84,0.7553,143,24.83,49,employed,6.8,4.2,0.13223
2021H2,auto,11045.56,0.8494,182,5.67,30,employed,7.9,5.6,0.22265
2020H2,unsecured,8081.63,,183,6.04,45,employed,9.6,-3.2,0.65691
2020H2,auto,13816.82,0.7053,168,10.12,31,employed,9.6,-3.2,0.13524
2021H2,auto,20931.84,0.8312,164,18.93,20,employed,7.9,5.6,0.28377
2023H2,mortgage,154168.67,0.8968,161,24.6,52,self_employed,7.2,1.8,0.47742
2023H2,mortgage,83598.92,0.895,202,19.17,28,retired,7.2,1.8,0.13998
2019H2,auto,8289.38,0.8189,121,6.48,29,employed,6.9,3.8,0.56783
2023H2,unsecured,35619.66,,104,5.7,37,employed,7.2,1.8,0.79055
2021H1,personal_secured,23426.1,0.9446,115,21.68,50,retired,8.7,1.4,0.7606
2021H2,auto,36172.69,0.6175,148,4.14,50,self_employed,7.9,5.6,0.27425
2019H1,unsecured,4028.12,,183,10.49,23,self_employed,6.8,4.2,0.8817
2021H2,unsecured,25606.64,,112,3.0,39,employed,7.9,5.6,0.71707
2019H2,mortgage,117675.5,0.9083,200,23.78,68,employed,6.9,3.8,0.29089
2023H1,mortgage,130772.29,0.696,136,21.6,39,employed,7.6,-2.1,0.26324
2022H2,mortgage,127610.65,0.6946,179,25.99,30,employed,8.1,-4.4,0.24635
2021H2,unsecured,5957.79,,159,8.01,42,retired,7.9,5.6,0.65721
2022H1,unsecured,5006.08,,178,4.25,57,self_employed,7.4,3.1,0.72841
2023H1,unsecured,9366.65,,109,13.37,36,unemployed,7.6,-2.1,0.82832
2020H2,unsecured,2200.67,,156,6.21,48,employed,9.6,-3.2,0.59552
2021H2,mortgage,79354.61,0.8021,191,18.87,30,employed,7.9,5.6,0.10508
2020H2,auto,18914.37,0.4645,172,13.98,31,employed,9.6,-3.2,0.42488
2020H1,unsecured,3128.26,,105,6.05,43,employed,9.2,-1.5,0.69332
2022H1,auto,7639.95,0.8167,152,6.75,41,employed,7.4,3.1,0.27987
2020H1,mortgage,43752.74,0.7024,200,27.75,44,self_employed,9.2,-1.5,0.15131
2021H2,mortgage,113931.12,0.7876,98,27.8,68,employed,7.9,5.6,0.01697
2022H2,mortgage,85223.34,0.6523,195,20.73,40,employed,8.1,-4.4,0.23971
2021H2,unsecured,6244.65,,94,12.13,41,self_employed,7.9,5.6,0.8284
2021H2,mortgage,79617.51,0.8577,202,20.28,23,unemployed,7.9,5.6,0.19516
2023H1,mortgage,55472.44,0.8011,162,24.75,51,employed,7.6,-2.1,0.36774
2021H2,auto,17941.34,0.6237,161,11.29,50,employed,7.9,5.6,0.44886
2019H1,mortgage,35548.78,0.9323,162,19.55,39,employed,6.8,4.2,0.15518
2019H1,mortgage,161978.83,0.7672,145,28.99,32,employed,6.8,4.2,0.21248
2022H2,unsecured,8352.64,,124,7.53,35,employed,8.1,-4.4,0.66496
2022H1,auto,28442.02,0.5937,185,15.1,58,unemployed,7.4,3.1,0.18788
2019H2,mortgage,61812.15,0.709,194,17.42,64,employed,6.9,3.8,0.07419
2021H2,mortgage,131558.69,0.7181,185,10.7,43,employed,7.9,5.6,0.13649
2020H2,mortgage,185140.59,0.7368,168,10.57,30,employed,9.6,-3.2,0.09476
2022H2,unsecured,1162.79,,104,12.99,41,unemployed,8.1,-4.4,0.89646
2023H1,unsecured,8465.62,,175,13.37,35,employed,7.6,-2.1,0.7552
2023H1,unsecured,14760.06,,180,8.06,63,employed,7.6,-2.1,0.64881
2023H2,mortgage,165669.8,0.6713,143,15.55,25,retired,7.2,1.8,0.01788
2019H2,mortgage,83700.87,0.6956,164,33.01,57,employed,6.9,3.8,0.10001
2021H1,unsecured,4333.99,,152,7.5,41,employed,8.7,1.4,0.66404
2020H2,unsecured,8831.44,,205,10.41,44,employed,9.6,-3.2,0.48838
2021H2,personal_secured,11729.27,0.5717,110,16.38,29,employed,7.9,5.6,0.30519
2020H2,auto,34322.85,0.7633,164,17.01,48,employed,9.6,-3.2,0.56896
2019H2,unsecured,13701.58,,187,8.88,50,employed,6.9,3.8,0.90927
2023H2,unsecured,12072.82,,156,3.0,54,employed,7.2,1.8,0.48189
2023H2,mortgage,90288.41,0.6481,140,31.01,36,employed,7.2,1.8,0.05697
2021H2,unsecured,1930.56,,208,9.31,55,unemployed,7.9,5.6,0.83157
2023H1,unsecured,4721.03,,151,3.0,67,retired,7.6,-2.1,0.63605
2022H2,unsecured,6974.63,,197,6.46,55,self_employed,8.1,-4.4,0.8011
2023H1,auto,16226.93,0.5732,191,10.36,45,self_employed,7.6,-2.1,0.35304
2023H2,mortgage,211639.25,0.7262,203,25.19,41,self_employed,7.2,1.8,0.09155
2023H1,auto,5177.39,0.6434,189,13.28,50,employed,7.6,-2.1,0.29379
2023H2,personal_secured,12741.72,0.559,132,20.74,44,employed,7.2,1.8,0.27523
2021H1,mortgage,70035.55,0.882,184,19.53,67,self_employed,8.7,1.4,0.15157
2020H1,personal_secured,13441.05,0.9698,112,9.69,38,unemployed,9.2,-1.5,0.68299
2022H2,unsecured,12061.09,,91,7.25,47,self_employed,8.1,-4.4,0.79171
2020H2,unsecured,4396.61,,174,9.83,59,unemployed,9.6,-3.2,0.93535
2022H1,mortgage,122042.14,0.9497,196,33.43,50,employed,7.4,3.1,0.46171
2020H2,personal_secured,12533.26,0.6781,125,17.11,63,employed,9.6,-3.2,0.77284
2022H1,auto,20976.51,0.6853,149,13.63,28,self_employed,7.4,3.1,0.4547
2022H2,unsecured,18433.68,,162,8.82,33,retired,8.1,-4.4,0.7399
2023H1,mortgage,218664.58,0.6021,118,21.24,46,unemployed,7.6,-2.1,0.1274
2021H1,auto,12989.91,0.79,97,14.47,41,employed,8.7,1.4,0.70099
2023H2,mortgage,68939.28,0.7452,105,23.71,46,employed,7.2,1.8,0.2959
2023H2,mortgage,118041.97,0.551,143,22.39,29,unemployed,7.2,1.8,0.02696
2021H1,auto,10245.31,0.8385,180,6.04,46,self_employed,8.7,1.4,0.35302
2022H2,mortgage,53051.96,0.7549,169,24.36,60,employed,8.1,-4.4,0.16745
2021H2,auto,10001.98,1.0256,129,15.1,70,unemployed,7.9,5.6,0.41319
2022H2,personal_secured,15431.19,1.0403,100,18.14,43,employed,8.1,-4.4,0.88384
2021H2,mortgage,112142.17,0.8162,96,23.08,37,employed,7.9,5.6,0.09462
2022H1,auto,10625.74,0.6821,130,11.82,20,self_employed,7.4,3.1,0.29533
2023H2,unsecured,4279.32,,95,9.27,50,self_employed,7.2,1.8,0.72497
2022H2,mortgage,72184.89,0.8573,188,23.32,25,self_employed,8.1,-4.4,0.4868
2020H2,unsecured,4618.16,,153,10.9,31,employed,9.6,-3.2,0.89605
2020H1,mortgage,45473.99,0.8153,98,21.52,41,employed,9.2,-1.5,0.32118
2023H1,mortgage,93876.12,0.7214,143,18.58,38,employed,7.6,-2.1,0.12223
2020H2,auto,28893.89,0.8283,192,18.9,51,self_employed,9.6,-3.2,0.6848
2023H1,mortgage,51021.95,0.5697,105,21.72,59,employed,7.6,-2.1,0.38246
2023H1,mortgage,93868.95,0.6671,207,26.76,49,employed,7.6,-2.1,0.22227
2022H2,personal_secured,13108.55,1.0467,155,20.97,38,employed,8.1,-4.4,0.52297
2023H1,mortgage,107553.93,0.6438,175,24.19,66,unemployed,7.6,-2.1,0.38023
2019H2,unsecured,2338.2,,121,9.87,42,employed,6.9,3.8,0.66292
2023H2,unsecured,3163.75,,140,3.32,23,employed,7.2,1.8,0.85098
2021H2,personal_secured,11926.3,0.7063,110,14.47,57,self_employed,7.9,5.6,0.28264
2020H1,mortgage,124911.63,0.9117,169,22.23,52,employed,9.2,-1.5,0.14408
2022H1,personal_secured,7052.99,0.8585,196,15.98,44,employed,7.4,3.1,0.42082
2022H2,mortgage,170483.75,0.802,111,22.32,63,employed,8.1,-4.4,0.23822
2022H2,auto,25751.61,0.8346,206,11.45,40,employed,8.1,-4.4,0.78405
2021H2,mortgage,125186.13,0.8193,183,24.96,51,employed,7.9,5.6,0.09416
2023H2,mortgage,72364.81,0.6261,146,18.4,28,employed,7.2,1.8,0.14486
2021H2,auto,9890.38,0.7211,103,9.04,59,employed,7.9,5.6,0.13691
2022H2,mortgage,67518.48,0.6486,176,25.2,53,employed,8.1,-4.4,0.31237
2019H2,mortgage,172749.55,0.8812,93,23.87,70,self_employed,6.9,3.8,0.21293
2020H1,mortgage,150071.18,0.8562,118,29.31,27,employed,9.2,-1.5,0.18194
2020H1,personal_secured,10641.05,0.4308,113,8.31,54,employed,9.2,-1.5,0.37031
2023H2,mortgage,122265.6,0.731,140,17.92,24,employed,7.2,1.8,0.46467
2023H1,unsecured,1509.05,,168,11.58,53,unemployed,7.6,-2.1,0.9047
2019H2,mortgage,90027.31,0.8417,204,20.44,47,employed,6.9,3.8,0.05018
2019H1,auto,19867.22,0.6148,152,9.4,50,employed,6.8,4.2,0.33786
2020H1,mortgage,99385.75,0.7289,191,29.1,50,retired,9.2,-1.5,0.20761
2021H2,mortgage,131496.89,0.88,134,12.44,31,employed,7.9,5.6,0.25655
2020H2,auto,10219.26,0.6705,131,16.29,39,retired,9.6,-3.2,0.43915
2021H2,mortgage,81499.73,1.0894,203,26.37,41,unemployed,7.9,5.6,0.32525
2020H2,mortgage,68712.24,0.904,159,22.12,61,retired,9.6,-3.2,0.32049
2021H2,mortgage,67700.19,0.6133,91,15.61,55,employed,7.9,5.6,0.1863
2020H2,unsecured,6087.39,,94,10.9,43,employed,9.6,-3.2,0.71075
2023H2,personal_secured,7021.99,0.5825,100,20.72,44,unemployed,7.2,1.8,0.33363
2019H1,mortgage,109511.73,0.6961,100,20.88,47,self_employed,6.8,4.2,0.16314
2019H2,mortgage,303174.51,0.6813,152,12.95,46,retired,6.9,3.8,0.00667
2021H2,unsecured,6643.57,,155,4.04,45,employed,7.9,5.6,0.68974
2022H2,unsecured,5941.2,,164,10.05,39,employed,8.1,-4.4,0.61683
2021H2,unsecured,14277.39,,91,3.0,57,employed,7.9,5.6,0.67047
2023H1,unsecured,8281.87,,159,10.19,35,employed,7.6,-2.1,0.53563
2022H2,auto,16927.75,0.8217,193,15.0,35,employed,8.1,-4.4,0.60854
2021H1,personal_secured,4852.13,0.8551,193,19.13,37,employed,8.7,1.4,0.69407
2023H1,unsecured,8768.25,,200,5.64,20,employed,7.6,-2.1,0.79227
2022H1,mortgage,41039.15,0.8038,106,12.13,52,employed,7.4,3.1,0.26432
2020H2,mortgage,273039.0,0.8994,178,24.34,49,employed,9.6,-3.2,0.49069
2022H1,mortgage,192347.8,0.3637,164,28.83,47,self_employed,7.4,3.1,3e-05
2022H2,mortgage,139816.39,0.5735,139,29.59,23,employed,8.1,-4.4,0.36021
2020H2,unsecured,11322.76,,202,11.56,50,employed,9.6,-3.2,0.70999
2022H1,unsecured,15084.61,,125,11.42,49,employed,7.4,3.1,0.54192
2020H1,unsecured,5948.12,,187,10.86,37,employed,9.2,-1.5,0.81277
2023H2,mortgage,106722.84,0.6752,186,22.53,32,employed,7.2,1.8,0.23571
2021H1,personal_secured,6206.31,1.0492,176,13.12,34,employed,8.7,1.4,0.45464
2021H1,mortgage,152772.99,0.756,125,23.85,37,employed,8.7,1.4,0.16724
2020H2,mortgage,170367.1,0.7782,195,20.08,32,employed,9.6,-3.2,0.39462
2021H2,personal_secured,10602.56,1.0182,95,15.44,32,employed,7.9,5.6,0.57565
2022H2,mortgage,126125.37,0.8431,99,17.94,53,unemployed,8.1,-4.4,0.43364
2023H1,mortgage,131391.78,0.7293,202,23.56,49,unemployed,7.6,-2.1,0.29213
2021H2,mortgage,217349.6,0.5645,206,27.74,42,employed,7.9,5.6,0.02776
2023H1,mortgage,87612.17,1.0674,129,18.7,48,retired,7.6,-2.1,0.30909
2020H1,auto,15658.01,0.9484,129,7.22,43,employed,9.2,-1.5,0.35334
2023H1,mortgage,152328.6,0.6383,127,17.17,50,employed,7.6,-2.1,0.2981
2023H1,mortgage,138177.69,0.7661,157,27.47,57,employed,7.6,-2.1,0.20108
2020H1,personal_secured,24687.57,0.9613,120,13.46,57,employed,9.2,-1.5,0.58999
2020H1,mortgage,106410.29,0.9402,111,23.08,54,employed,9.2,-1.5,0.12759
2020H2,unsecured,6037.76,,143,3.0,49,unemployed,9.6,-3.2,0.83117
2023H2,mortgage,122021.43,0.6454,139,26.29,43,employed,7.2,1.8,0.18855
2021H1,auto,23645.84,0.5594,194,14.57,60,employed,8.7,1.4,0.39637
2020H2,mortgage,44483.03,0.7383,117,33.64,44,employed,9.6,-3.2,0.37837
2021H2,personal_secured,9636.74,0.9867,152,18.34,50,retired,7.9,5.6,0.36973
2022H1,mortgage,78146.07,0.7279,198,23.0,32,employed,7.4,3.1,0.05807
2021H2,unsecured,3294.32,,185,4.6,47,employed,7.9,5.6,0.78454
2020H2,auto,16941.74,0.4882,90,16.36,49,unemployed,9.6,-3.2,0.31815
2023H1,personal_secured,8691.76,0.7148,180,20.52,31,self_employed,7.6,-2.1,0.71069
2022H1,auto,13662.77,0.8323,125,10.69,55,self_employed,7.4,3.1,0.19516
2020H1,unsecured,3142.35,,128,13.11,57,employed,9.2,-1.5,0.58165
2021H1,mortgage,39873.48,0.7489,131,23.62,37,employed,8.7,1.4,0.17413
2021H2,mortgage,194271.81,0.5117,208,27.67,34,unemployed,7.9,5.6,0.01434
2020H2,unsecured,2899.14,,140,3.0,55,unemployed,9.6,-3.2,0.71032
2022H2,unsecured,8926.35,,155,5.64,40,employed,8.1,-4.4,0.8821
2021H2,mortgage,124669.71,0.938,100,24.5,61,employed,7.9,5.6,0.13503
2023H1,unsecured,8365.64,,193,4.1,41,self_employed,7.6,-2.1,0.81469
2020H2,unsecured,8504.38,,105,3.22,48,employed,9.6,-3.2,0.773
2022H2,auto,12246.07,0.9768,130,19.64,45,employed,8.1,-4.4,0.73792
2023H1,mortgage,105682.34,0.6775,177,15.94,31,retired,7.6,-2.1,0.08294
2021H1,personal_secured,6950.61,0.9203,112,18.82,36,employed,8.7,1.4,0.33099
2020H2,auto,18026.86,0.8096,165,13.26,72,employed,9.6,-3.2,0.36427
2023H1,auto,13692.27,0.837,159,12.32,40,employed,7.6,-2.1,0.53678
2021H2,mortgage,128836.53,0.872,120,14.63,56,self_employed,7.9,5.6,0.18057
2023H2,auto,11762.7,0.8286,92,12.9,61,employed,7.2,1.8,0.24287
2020H2,mortgage,144593.04,0.4893,137,18.12,36,employed,9.6,-3.2,0.1019
2021H1,unsecured,6400.85,,132,4.98,37,self_employed,8.7,1.4,0.73874
2022H1,mortgage,101922.73,0.7712,175,19.39,40,employed,7.4,3.1,0.02131
2022H2,auto,9562.91,0.9164,203,19.17,45,employed,8.1,-4.4,0.76175
2019H2,unsecured,11023.41,,185,3.14,21,employed,6.9,3.8,0.66912
2022H2,auto,31758.82,0.6521,109,18.65,33,employed,8.1,-4.4,0.47431
2020H1,mortgage,122294.37,0.6498,169,19.89,38,self_employed,9.2,-1.5,0.16204
2022H1,mortgage,405498.49,0.5364,194,12.8,39,employed,7.4,3.1,0.01734
2022H1,mortgage,42605.92,0.7198,194,24.97,55,unemployed,7.4,3.1,0.33237
2021H2,mortgage,113691.39,0.9335,121,20.15,48,employed,7.9,5.6,0.16197
2019H2,mortgage,83888.24,0.5167,144,28.85,56,employed,6.9,3.8,0.13432
2022H2,unsecured,7226.99,,148,12.44,34,employed,8.1,-4.4,0.64714
2022H2,mortgage,99438.96,0.6015,186,26.82,20,employed,8.1,-4.4,0.34863
2022H2,mortgage,160097.08,0.6848,184,17.09,49,employed,8.1,-4.4,0.29377
2021H2,auto,24410.92,0.6452,198,19.12,34,employed,7.9,5.6,0.11905
2022H2,mortgage,274925.52,0.362,177,22.71,70,employed,8.1,-4.4,0.30393
2019H1,mortgage,100957.14,0.3972,126,18.0,22,unemployed,6.8,4.2,0.07858
2019H2,auto,14167.99,0.9847,105,11.84,41,self_employed,6.9,3.8,0.49459
2020H1,auto,8701.02,0.7236,186,6.3,41,employed,9.2,-1.5,0.50095
2022H2,auto,12080.17,0.7186,200,14.27,51,employed,8.1,-4.4,0.5877
2021H2,auto,13594.54,0.6538,136,21.12,39,employed,7.9,5.6,0.41859
2022H2,auto,6691.98,0.9238,128,14.14,51,unemployed,8.1,-4.4,0.66414
2021H2,unsecured,9901.36,,141,4.79,62,employed,7.9,5.6,0.79274
2021H1,auto,11703.4,0.6103,190,20.79,43,unemployed,8.7,1.4,0.29157
2019H2,mortgage,65844.01,0.5289,169,25.08,29,employed,6.9,3.8,0.08885
2022H2,mortgage,265113.21,0.8869,206,32.23,54,self_employed,8.1,-4.4,0.30327
2023H1,mortgage,62438.5,0.6498,145,16.01,58,self_employed,7.6,-2.1,0.28768
2020H2,unsecured,11433.28,,140,3.0,35,employed,9.6,-3.2,0.58634
2021H2,mortgage,87578.66,0.865,125,23.54,55,self_employed,7.9,5.6,0.33942
2021H2,mortgage,18697.63,0.9006,149,22.98,36,employed,7.9,5.6,0.07204
2020H2,unsecured,4575.61,,174,10.56,41,employed,9.6,-3.2,0.62242
2023H2,mortgage,102635.02,1.1067,105,18.04,60,employed,7.2,1.8,0.27062
2022H1,auto,35826.29,0.5884,149,4.36,42,retired,7.4,3.1,0.40295
2022H2,unsecured,31299.79,,134,8.03,47,employed,8.1,-4.4,0.5781
2019H2,mortgage,146768.27,0.6849,111,23.6,55,employed,6.9,3.8,0.11992
2023H1,unsecured,4751.7,,192,8.39,49,employed,7.6,-2.1,0.57271
2022H1,mortgage,186802.47,0.7691,174,21.72,78,employed,7.4,3.1,0.06996
2022H1,unsecured,17816.08,,93,9.39,43,unemployed,7.4,3.1,0.81691
2021H1,auto,21865.27,0.5362,119,16.34,75,employed,8.7,1.4,0.33763
2022H1,auto,34147.31,0.5984,136,10.05,43,employed,7.4,3.1,0.26754
2019H2,auto,7582.82,0.8892,141,12.61,65,self_employed,6.9,3.8,0.23667
2023H1,personal_secured,12085.36,0.8232,120,10.95,31,employed,7.6,-2.1,0.41214
2020H2,auto,9312.91,0.7929,141,7.76,54,employed,9.6,-3.2,0.23671
2019H2,unsecured,40814.42,,134,11.77,50,unemployed,6.9,3.8,0.95003
2022H2,unsecured,5476.78,,207,15.55,58,self_employed,8.1,-4.4,0.42644
2019H2,unsecured,2878.31,,97,10.36,55,employed,6.9,3.8,0.67411
2021H2,mortgage,263649.76,0.7225,110,20.17,39,self_employed,7.9,5.6,0.2357
2022H2,unsecured,23772.49,,101,10.6,46,employed,8.1,-4.4,0.84776
2019H1,auto,19711.28,0.9451,172,11.43,51,employed,6.8,4.2,0.69884
2021H1,mortgage,94096.77,0.982,162,24.5,32,unemployed,8.7,1.4,0.23783
