vintage,product,credit_limit_eur,drawn_t0_eur,utilisation_t0,time_to_default_months,risk_score_t0,min_payment_ratio,borrower_age,unemployment_pct,gdp_yoy_pct,ccf_realised,utilisation_default,ead_eur
2022H2,credit_card,4930.47,2210.17,0.4483,7,0.1843,0.3375,43,8.1,-0.8,0.44336,0.6929,3416.25
2020H1,overdraft,4537.35,1062.38,0.2341,10,0.8433,0.4938,31,9.2,-3.4,0.82796,0.8682,3939.51
2019H1,overdraft,4000.92,1642.38,0.4105,4,0.4338,0.5247,41,6.8,2.1,0.59157,0.7592,3037.62
2023H1,credit_card,1563.27,626.55,0.4008,10,0.4115,0.5508,20,7.6,0.6,0.39412,0.637,995.74
2023H2,line_of_credit,41545.6,21438.65,0.516,4,0.8815,0.7171,37,7.2,1.4,0.9047,0.9539,39629.43
2021H2,credit_card,5580.97,2519.81,0.4515,3,0.2956,0.2966,23,7.9,4.5,0.6062,0.784,4375.48
2019H2,overdraft,1220.37,303.12,0.2484,9,0.2568,0.3092,30,6.9,1.9,0.86647,0.8996,1097.89
2021H1,credit_card,3240.58,1127.12,0.3478,3,0.2663,0.5067,46,8.7,3.8,0.4659,0.6517,2111.78
2023H1,overdraft,7162.55,1786.8,0.2495,6,0.385,0.5756,56,7.6,0.6,0.79954,0.8496,6084.94
2021H1,overdraft,3341.6,1100.07,0.3292,11,0.8525,0.7341,47,8.7,3.8,0.75107,0.833,2783.62
2021H1,credit_card,9636.93,6133.15,0.6364,5,0.3466,0.8324,29,8.7,3.8,0.31458,0.7508,7235.36
2023H1,overdraft,2389.93,692.71,0.2898,3,0.4495,0.3786,39,7.6,0.6,0.63839,0.7432,1776.2
2020H2,line_of_credit,10524.01,2235.52,0.2124,6,0.4367,0.3206,39,9.6,-2.1,0.63085,0.7093,7464.35
2021H1,credit_card,8841.24,3226.71,0.365,9,0.24,0.3614,48,8.7,3.8,0.74364,0.8372,7401.89
2022H1,credit_card,8845.84,840.88,0.0951,9,0.6393,0.3412,34,7.4,2.4,0.53305,0.5774,5107.93
2019H2,credit_card,4469.94,2373.58,0.531,10,0.1299,0.2048,37,6.9,1.9,0.43867,0.7367,3293.2
2019H1,credit_card,4131.25,2933.57,0.7101,10,0.845,0.5777,61,6.8,2.1,0.71277,0.9167,3787.24
2019H1,credit_card,4031.25,2092.77,0.5191,3,0.086,0.64,59,6.8,2.1,0.29993,0.6634,2674.19
2021H2,credit_card,3753.32,1242.84,0.3311,9,0.2547,0.8681,59,7.9,4.5,0.5562,0.7032,2639.17
2022H2,overdraft,3854.42,1794.58,0.4656,11,0.6724,0.5634,27,8.1,-0.8,0.52522,0.7463,2876.45
2021H2,credit_card,1288.56,688.43,0.5343,8,0.7666,0.7254,55,7.9,4.5,0.64906,0.8366,1077.95
2020H2,overdraft,1823.09,1407.2,0.7719,9,0.6048,0.4123,47,9.6,-2.1,0.63402,0.9165,1670.88
2020H2,line_of_credit,19552.25,4393.07,0.2247,8,0.7399,0.4366,55,9.6,-2.1,0.91208,0.9318,18219.44
2020H1,credit_card,2393.93,988.7,0.413,9,0.7314,0.4258,55,9.2,-3.4,0.61056,0.7714,1846.68
2022H2,credit_card,6995.96,5031.24,0.7192,5,0.3669,0.1638,42,8.1,-0.8,0.46711,0.8503,5948.99
2023H1,credit_card,8708.64,2011.52,0.231,6,0.3943,0.2982,60,7.6,0.6,0.7297,0.7921,6898.39
2020H1,credit_card,6306.48,2896.34,0.4593,4,0.6053,0.4658,52,9.2,-3.4,0.73655,0.8575,5408.09
2019H1,line_of_credit,31633.3,15236.36,0.4817,3,0.595,0.3012,20,6.8,2.1,0.79858,0.8956,28330.59
2022H1,credit_card,3981.47,1064.47,0.2674,8,0.3924,0.4403,56,7.4,2.4,0.67904,0.7649,3045.24
2021H2,line_of_credit,53099.0,25735.99,0.4847,9,0.914,0.5271,36,7.9,4.5,0.88194,0.9392,49868.58
2020H1,line_of_credit,13487.72,5613.02,0.4162,3,0.537,0.7061,38,9.2,-3.4,0.74753,0.8526,11499.62
2022H1,credit_card,11210.46,6629.49,0.5914,3,0.7443,0.7585,43,7.4,2.4,0.40752,0.7579,8496.33
2019H1,line_of_credit,83327.42,39477.65,0.4738,12,0.5929,0.2862,29,6.8,2.1,0.87049,0.9318,77648.32
2020H1,overdraft,5107.55,969.38,0.1898,5,0.5437,0.374,47,9.2,-3.4,0.60258,0.678,3462.97
2022H1,credit_card,6535.87,2700.96,0.4133,8,0.4838,0.3709,29,7.4,2.4,0.91167,0.9482,6197.14
2020H1,credit_card,6814.79,2945.32,0.4322,5,0.9363,0.2479,43,9.2,-3.4,0.83311,0.9052,6169.0
2020H1,credit_card,4254.62,253.63,0.0596,3,0.2718,0.2297,24,9.2,-3.4,0.46923,0.5009,2131.01
2023H1,credit_card,4853.54,793.66,0.1635,7,0.5843,0.2705,48,7.6,0.6,0.72109,0.7667,3721.21
2022H2,credit_card,7131.37,5054.48,0.7088,10,0.2533,0.8932,30,8.1,-0.8,0.32309,0.8029,5725.5
2019H2,overdraft,4078.32,1806.45,0.4429,10,0.7084,0.6769,43,6.9,1.9,0.78345,0.8794,3586.34
2020H2,overdraft,1703.71,750.59,0.4406,7,0.6013,0.3005,20,9.6,-2.1,0.80419,0.8905,1517.08
2022H1,overdraft,3231.07,1196.89,0.3704,7,0.5714,0.3973,51,7.4,2.4,0.79376,0.8702,2811.53
2019H2,overdraft,2297.74,1118.04,0.4866,6,0.5176,0.2828,32,6.9,1.9,0.84252,0.9191,2111.96
2019H1,credit_card,4854.14,2894.95,0.5964,7,0.878,0.4762,59,6.8,2.1,0.72266,0.8881,4310.78
2019H2,credit_card,3233.07,1129.57,0.3494,3,0.5144,0.2828,41,6.9,1.9,0.88512,0.9253,2991.41
2019H1,credit_card,14175.5,10606.01,0.7482,5,0.5378,0.3679,55,6.8,2.1,0.50989,0.8766,12426.04
2023H2,credit_card,3361.3,1675.85,0.4986,6,0.2425,0.2538,22,7.2,1.4,0.79659,0.898,3018.47
2020H2,overdraft,2642.92,938.06,0.3549,8,0.5079,0.4452,53,9.6,-2.1,0.94386,0.9638,2547.21
2020H1,credit_card,5860.95,1910.02,0.3259,12,0.7668,0.3262,55,9.2,-3.4,0.87699,0.9171,5374.96
2023H1,line_of_credit,55691.2,26650.72,0.4785,5,0.5272,0.4662,45,7.6,0.6,0.83196,0.9124,50811.23
2022H2,credit_card,4220.34,1025.24,0.2429,7,0.9666,0.4267,26,8.1,-0.8,0.48925,0.6133,2588.44
2021H1,line_of_credit,51895.19,10956.91,0.2111,4,0.5463,0.1619,52,8.7,3.8,0.82423,0.8613,44699.52
2019H1,credit_card,6011.49,3103.4,0.5162,4,0.7706,0.4647,37,6.8,2.1,0.58077,0.7972,4792.32
2023H1,overdraft,1778.68,660.71,0.3715,9,0.6367,0.3775,36,7.6,0.6,0.84718,0.9039,1607.83
2019H1,credit_card,4783.18,844.1,0.1765,10,0.8737,0.2079,40,6.8,2.1,0.79671,0.8326,3982.41
2021H2,overdraft,7513.34,2031.43,0.2704,12,0.4695,0.5735,51,7.9,4.5,0.89145,0.9208,6918.3
2021H2,credit_card,11776.1,5608.25,0.4762,9,0.9123,0.3777,54,7.9,4.5,0.41588,0.6941,8173.32
2023H1,credit_card,6683.72,3613.98,0.5407,7,0.6303,0.5935,33,7.6,0.6,0.74181,0.8814,5891.15
2019H2,credit_card,8505.9,2472.95,0.2907,10,0.5613,0.1803,41,6.9,1.9,0.69454,0.7833,6663.1
2020H1,credit_card,3971.4,1928.67,0.4856,10,0.2826,0.7543,37,9.2,-3.4,0.57394,0.7809,3101.08
2020H1,credit_card,2189.93,1095.9,0.5004,6,0.649,0.3527,40,9.2,-3.4,0.78082,0.8905,1950.15
2022H1,credit_card,3513.07,2011.37,0.5725,6,0.6223,0.5176,39,7.4,2.4,0.46429,0.771,2708.59
2020H1,credit_card,2731.58,1884.91,0.69,7,0.3609,0.3551,41,9.2,-3.4,0.54098,0.8577,2342.94
2023H1,credit_card,5505.79,2569.75,0.4667,8,0.4061,0.3334,48,7.6,0.6,0.37575,0.6671,3672.98
2023H2,line_of_credit,19528.3,4555.98,0.2333,11,0.5727,0.4931,35,7.2,1.4,0.59395,0.6887,13448.86
2019H2,line_of_credit,26212.16,5663.74,0.2161,8,0.5278,0.3258,43,6.9,1.9,0.91223,0.9312,24408.63
2021H2,credit_card,7160.79,4339.99,0.6061,5,0.4028,0.8457,33,7.9,4.5,0.44007,0.7794,5581.34
2020H1,credit_card,2604.89,869.84,0.3339,9,0.8133,0.3464,63,9.2,-3.4,0.9723,0.9816,2556.83
2022H1,credit_card,4459.1,1499.2,0.3362,6,0.1717,0.4433,32,7.4,2.4,0.27544,0.519,2314.48
2023H1,credit_card,4693.23,1020.06,0.2173,10,0.2699,0.4109,26,7.6,0.6,0.68758,0.7555,3545.67
2023H1,credit_card,2783.43,672.8,0.2417,8,0.4658,0.2768,36,7.6,0.6,0.64305,0.7293,2030.03
2022H2,overdraft,5355.33,3738.78,0.6981,12,0.7489,0.5796,28,8.1,-0.8,0.94684,0.984,5269.39
2022H2,overdraft,1751.29,239.51,0.1368,4,0.5627,0.1092,78,8.1,-0.8,0.86186,0.8808,1542.46
2021H2,overdraft,2350.82,280.67,0.1194,11,0.2318,0.4921,62,7.9,4.5,0.81969,0.8412,1977.55
2023H1,credit_card,2486.36,1034.23,0.416,8,0.3935,0.215,45,7.6,0.6,0.46269,0.6862,1706.11
2022H1,credit_card,3001.65,217.21,0.0724,4,0.8602,0.4136,48,7.4,2.4,0.73824,0.7572,2272.81
2019H2,line_of_credit,48799.1,23407.61,0.4797,5,0.6428,0.5894,47,6.9,1.9,0.81273,0.9026,44044.16
2023H1,credit_card,2200.35,1084.27,0.4928,12,0.5459,0.2717,46,7.6,0.6,0.86023,0.9291,2044.35
2023H1,line_of_credit,33846.9,14425.29,0.4262,11,0.6994,0.3036,36,7.6,0.6,0.81581,0.8943,30269.73
2021H2,credit_card,7689.2,5292.65,0.6883,3,0.5469,0.7721,38,7.9,4.5,0.26546,0.7711,5928.85
2023H2,overdraft,2649.97,313.12,0.1182,12,0.7488,0.6183,53,7.2,1.4,0.74168,0.7722,2046.31
2022H2,line_of_credit,146931.95,8070.67,0.0549,9,0.7555,0.6282,41,8.1,-0.8,0.92,0.9244,135823.59
2019H2,overdraft,3606.9,372.04,0.1031,12,0.8349,0.3843,65,6.9,1.9,0.84583,0.8617,3108.18
2022H2,credit_card,5112.33,2778.1,0.5434,4,0.4095,0.2388,35,8.1,-0.8,0.66285,0.8461,4325.35
2021H2,credit_card,3957.4,1650.73,0.4171,11,0.3275,0.4954,27,7.9,4.5,0.54473,0.7346,2907.24
2019H1,credit_card,6157.5,4509.04,0.7323,4,0.3778,0.2869,49,6.8,2.1,0.34453,0.8245,5076.99
2021H1,overdraft,3209.79,847.46,0.264,6,0.9264,0.5837,48,8.7,3.8,0.54829,0.6675,2142.69
2021H1,credit_card,6732.02,4226.49,0.6278,6,0.4398,0.5008,38,8.7,3.8,0.71258,0.893,6011.89
2019H1,credit_card,1390.19,803.99,0.5783,5,0.6099,0.1386,62,6.8,2.1,0.33949,0.7215,1003.0
2022H2,line_of_credit,58198.95,21810.77,0.3748,10,0.3002,0.3822,33,8.1,-0.8,0.80387,0.8774,51062.11
2019H2,line_of_credit,13159.97,9227.22,0.7012,6,0.1799,0.5379,39,6.9,1.9,0.67022,0.9014,11863.04
2021H2,overdraft,3151.69,540.9,0.1716,8,0.8889,0.5613,43,7.9,4.5,0.84992,0.8757,2759.88
2020H1,overdraft,1660.46,1027.55,0.6188,5,0.3381,0.6,64,9.2,-3.4,0.75222,0.9056,1503.64
2022H2,line_of_credit,76249.03,16265.45,0.2133,7,0.7463,0.4127,20,8.1,-0.8,0.54323,0.6407,48850.56
2023H2,credit_card,2838.29,1462.48,0.5153,12,0.5254,0.3187,29,7.2,1.4,0.51336,0.7641,2168.77
2020H2,overdraft,1871.32,684.07,0.3656,11,0.2449,0.1995,42,9.6,-2.1,0.65733,0.7826,1464.48
2019H2,credit_card,4851.95,1501.14,0.3094,5,0.5228,0.397,48,6.9,1.9,0.51801,0.6671,3236.88
2021H2,credit_card,3569.75,1992.48,0.5582,4,0.114,0.2827,41,7.9,4.5,0.71566,0.8744,3121.28
2022H2,credit_card,4353.64,1875.38,0.4308,9,0.5744,0.6891,23,8.1,-0.8,0.70651,0.8329,3626.29
2021H1,overdraft,2836.09,112.83,0.0398,3,0.7295,0.2262,30,8.7,3.8,0.93609,0.9386,2662.06
2021H2,credit_card,11519.06,6738.06,0.5849,9,0.3526,0.2657,60,7.9,4.5,0.85507,0.9398,10826.13
2019H2,credit_card,3756.2,1596.38,0.425,10,0.361,0.2829,48,6.9,1.9,0.82703,0.9005,3382.61
2020H1,overdraft,4643.96,1106.43,0.2383,6,0.9648,0.2419,60,9.2,-3.4,0.88013,0.9087,4219.91
2020H2,credit_card,5026.42,3519.8,0.7003,9,0.5558,0.7065,45,9.6,-2.1,0.61922,0.8859,4452.73
2023H2,credit_card,8563.94,3497.46,0.4084,8,0.7024,0.4633,49,7.2,1.4,0.77811,0.8687,7439.73
2020H2,credit_card,4316.17,1356.86,0.3144,8,0.3422,0.509,44,9.6,-2.1,0.66003,0.7669,3310.1
2023H2,credit_card,7804.67,2920.19,0.3742,4,0.0827,0.1742,47,7.2,1.4,0.57873,0.7364,5747.0
2022H1,credit_card,4007.95,2314.19,0.5774,12,0.3153,0.345,52,7.4,2.4,0.73933,0.8898,3566.43
2020H1,overdraft,1779.15,456.54,0.2566,9,0.4794,0.4538,53,9.2,-3.4,0.89842,0.9245,1644.8
2020H1,overdraft,1880.3,1045.22,0.5559,4,0.3639,0.6154,37,9.2,-3.4,0.46173,0.7609,1430.8
2020H2,line_of_credit,38491.09,11172.11,0.2903,10,0.3366,0.6176,26,9.6,-2.1,0.90151,0.9301,35800.32
2021H2,line_of_credit,34375.99,568.77,0.0165,7,0.4657,0.3043,49,7.9,4.5,0.74989,0.754,25920.3
2022H2,overdraft,1510.85,196.43,0.13,12,0.4489,0.6857,44,8.1,-0.8,0.59395,0.6467,977.14
2022H2,line_of_credit,26997.05,7930.78,0.2938,9,0.4132,0.2148,42,8.1,-0.8,0.80385,0.8615,23257.14
2019H2,overdraft,4368.85,1602.24,0.3667,5,0.3095,0.7447,26,6.9,1.9,0.57274,0.7294,3186.79
2022H1,credit_card,7142.65,2690.74,0.3767,9,0.2505,0.5378,21,7.4,2.4,0.36618,0.6049,4320.93
2022H1,overdraft,1873.46,466.32,0.2489,3,0.7692,0.5122,48,7.4,2.4,0.91173,0.9337,1749.26
2023H2,line_of_credit,134813.08,32409.11,0.2404,7,0.7766,0.3043,46,7.2,1.4,0.52945,0.6426,86626.57
2019H2,overdraft,2159.66,143.55,0.0665,11,0.8229,0.5939,20,6.9,1.9,0.91052,0.9165,1979.26
2023H1,credit_card,2332.73,574.66,0.2463,3,0.1736,0.2778,25,7.6,0.6,0.72722,0.7944,1853.17
2020H1,credit_card,4981.46,3295.76,0.6616,12,0.2967,0.1355,46,9.2,-3.4,0.52721,0.84,4184.47
2020H1,overdraft,3941.71,1933.67,0.4906,12,0.4396,0.6968,59,9.2,-3.4,0.22148,0.6034,2378.41
2023H1,credit_card,4160.48,2321.01,0.5579,8,0.462,0.2409,32,7.6,0.6,0.40444,0.7367,3064.96
2022H2,credit_card,2586.17,912.6,0.3529,10,0.37,0.504,22,8.1,-0.8,0.23955,0.5079,1313.5
2022H1,overdraft,3874.85,2476.26,0.6391,10,0.2129,0.2001,36,7.4,2.4,0.74358,0.9074,3516.23
2020H1,credit_card,9738.6,1685.19,0.173,8,0.3421,0.6286,25,9.2,-3.4,0.58923,0.6603,6430.5
2023H2,credit_card,3275.79,167.83,0.0512,6,0.569,0.71,59,7.2,1.4,0.33661,0.3706,1213.99
2021H2,line_of_credit,47868.39,32217.07,0.673,6,0.8598,0.2533,40,7.9,4.5,0.99619,0.9988,47808.83
2023H1,overdraft,2443.43,322.9,0.1322,12,0.8679,0.3283,37,7.6,0.6,0.90716,0.9194,2246.56
2023H1,credit_card,1329.31,589.26,0.4433,11,0.1422,0.2472,59,7.6,0.6,0.54699,0.7478,994.06
2020H1,line_of_credit,76915.14,2662.73,0.0346,11,0.4292,0.3097,64,9.2,-3.4,0.92786,0.9304,71558.54
2021H1,line_of_credit,7143.7,1673.67,0.2343,3,0.4995,0.4824,59,8.7,3.8,0.4725,0.5961,4258.27
2021H2,credit_card,5185.92,2177.25,0.4198,10,0.166,0.1557,32,7.9,4.5,0.36537,0.6318,3276.53
2023H1,overdraft,1955.45,567.52,0.2902,10,0.357,0.3398,42,7.6,0.6,0.78129,0.8448,1651.91
2021H1,credit_card,7128.2,4773.52,0.6697,4,0.2457,0.2287,41,8.7,3.8,0.52477,0.843,6009.2
2023H2,overdraft,2463.55,1366.02,0.5545,11,0.6478,0.2641,65,7.2,1.4,0.54724,0.7983,1966.63
2020H2,credit_card,5344.41,1949.11,0.3647,5,0.6294,0.5158,40,9.6,-2.1,0.66336,0.7861,4201.42
2021H1,overdraft,3331.14,1043.75,0.3133,8,0.728,0.3425,52,8.7,3.8,0.35717,0.5586,1860.74
2022H1,overdraft,2931.17,1020.71,0.3482,5,0.0627,0.5242,70,7.4,2.4,0.60346,0.7415,2173.6
2019H1,overdraft,4318.33,701.85,0.1625,12,0.1642,0.3841,35,6.8,2.1,0.46883,0.5552,2397.36
2019H1,overdraft,2051.25,920.06,0.4485,6,0.619,0.4412,42,6.8,2.1,0.93977,0.9668,1983.11
2023H2,credit_card,17451.67,5307.77,0.3041,3,0.1232,0.4104,55,7.2,1.4,0.41919,0.5958,10398.35
2020H2,line_of_credit,10838.37,288.7,0.0266,8,0.3082,0.157,34,9.6,-2.1,0.91002,0.9124,9889.09
2019H1,credit_card,2472.69,665.23,0.269,10,0.9101,0.4174,53,6.8,2.1,0.55951,0.678,1676.53
2020H1,credit_card,6016.45,4069.02,0.6763,4,0.6864,0.318,47,9.2,-3.4,0.32443,0.7813,4700.82
2021H1,credit_card,3403.01,1614.67,0.4745,8,0.411,0.4708,40,8.7,3.8,0.52292,0.7493,2549.84
2022H1,credit_card,3536.45,1512.22,0.4276,12,0.5071,0.5448,67,7.4,2.4,0.75977,0.8625,3050.17
2022H1,credit_card,9097.94,5283.05,0.5807,7,0.8868,0.6078,34,7.4,2.4,0.90414,0.9598,8732.25
2021H2,credit_card,16575.01,6270.97,0.3783,11,0.7834,0.3577,55,7.9,4.5,0.90048,0.9381,15549.6
2020H2,credit_card,2925.0,1061.18,0.3628,9,0.2919,0.4213,58,9.6,-2.1,0.60702,0.7496,2192.55
2022H2,credit_card,10702.22,3042.3,0.2843,7,0.5376,0.5431,26,8.1,-0.8,0.37202,0.5505,5891.98
2019H1,credit_card,4509.11,2479.99,0.55,5,0.5014,0.7616,28,6.8,2.1,0.65329,0.844,3805.59
2023H1,credit_card,3059.32,1626.1,0.5315,7,0.3033,0.2817,39,7.6,0.6,0.53734,0.7833,2396.22
2019H2,overdraft,3640.33,537.71,0.1477,3,0.3649,0.2477,22,6.9,1.9,0.95729,0.9636,3507.82
2023H2,credit_card,2475.25,871.13,0.3519,6,0.6849,0.6373,52,7.2,1.4,0.8411,0.897,2220.36
2022H2,line_of_credit,6042.07,3272.05,0.5415,8,0.5962,0.5958,40,8.1,-0.8,0.58587,0.8101,4894.92
2022H1,credit_card,8535.85,3198.69,0.3747,7,0.4128,0.3606,44,7.4,2.4,0.20232,0.5012,4278.53
2021H1,credit_card,4310.66,1771.74,0.411,5,0.6002,0.4442,59,8.7,3.8,0.70596,0.8268,3564.11
2021H1,line_of_credit,27005.11,7467.69,0.2765,8,0.3693,0.569,38,8.7,3.8,0.37406,0.5472,14775.85
2023H2,credit_card,6547.64,2596.46,0.3965,4,0.2578,0.166,35,7.2,1.4,0.54787,0.7272,4761.2
2020H1,overdraft,2145.92,1024.04,0.4772,10,0.4074,0.3765,37,9.2,-3.4,0.94643,0.972,2085.83
2023H1,credit_card,3479.18,2335.58,0.6713,3,0.5945,0.2887,62,7.6,0.6,0.16568,0.7258,2525.05
2022H1,credit_card,3495.27,1463.84,0.4188,4,0.3197,0.4575,56,7.4,2.4,0.72467,0.84,2935.96
2020H1,line_of_credit,22375.54,2432.55,0.1087,8,0.6511,0.4201,58,9.2,-3.4,0.69209,0.7256,16234.86
2019H2,credit_card,2396.9,1402.05,0.5849,10,0.3757,0.4189,50,6.9,1.9,0.45957,0.7757,1859.25
2022H1,overdraft,1197.46,345.77,0.2888,12,0.2577,0.3913,36,7.4,2.4,0.24722,0.4646,556.32
2022H2,credit_card,1297.24,859.24,0.6624,7,0.2008,0.227,52,8.1,-0.8,0.91128,0.97,1258.38
2023H2,overdraft,4326.76,3052.06,0.7054,12,0.8129,0.1179,45,7.2,1.4,0.92014,0.9765,4224.96
2021H2,overdraft,2560.71,799.37,0.3122,10,0.2121,0.3124,46,7.9,4.5,0.81609,0.8735,2236.79
2022H1,credit_card,4524.92,1377.69,0.3045,3,0.5289,0.7355,38,7.4,2.4,0.37444,0.5649,2556.15
2019H2,credit_card,4740.01,3543.26,0.7475,4,0.2377,0.4262,20,6.9,1.9,0.55914,0.8887,4212.41
2021H1,credit_card,4743.92,945.11,0.1992,9,0.5705,0.72,39,8.7,3.8,0.3695,0.4951,2348.77
2021H2,line_of_credit,90948.88,24739.62,0.272,3,0.2782,0.4639,44,7.9,4.5,0.09468,0.3409,31008.05
2020H2,credit_card,7308.76,1333.55,0.1825,7,0.5837,0.3706,23,9.6,-2.1,0.80489,0.8405,6142.94
2022H1,line_of_credit,3232.82,785.35,0.2429,10,0.316,0.7002,56,7.4,2.4,0.61506,0.7086,2290.7
2021H1,overdraft,4472.34,908.67,0.2032,6,0.5467,0.6267,42,8.7,3.8,0.75271,0.803,3591.08
2022H2,overdraft,1085.0,566.65,0.5223,10,0.1146,0.4642,39,8.1,-0.8,0.68192,0.848,920.12
2021H2,credit_card,15016.65,3900.05,0.2597,7,0.4302,0.4006,57,7.9,4.5,0.83405,0.8771,13171.81
2023H2,credit_card,5445.46,3313.59,0.6085,4,0.7437,0.5479,30,7.2,1.4,0.80573,0.9239,5031.31
2023H1,overdraft,1358.12,553.84,0.4078,11,0.3494,0.7043,62,7.6,0.6,0.87151,0.9239,1254.79
2022H2,credit_card,9123.96,4268.55,0.4678,3,0.2952,0.1821,26,8.1,-0.8,0.52093,0.7451,6797.87
2023H2,overdraft,4654.24,968.42,0.2081,8,0.6662,0.3235,51,7.2,1.4,0.60165,0.6845,3185.98
2020H1,credit_card,2605.0,1396.99,0.5363,6,0.5499,0.3281,39,9.2,-3.4,0.53346,0.7837,2041.41
2019H2,credit_card,12725.75,5236.69,0.4115,8,0.5805,0.4783,44,6.9,1.9,0.54321,0.7312,9304.83
2019H2,credit_card,3446.28,359.15,0.1042,4,0.5189,0.6136,22,6.9,1.9,0.58662,0.6297,2170.13
2021H2,credit_card,17021.5,9594.97,0.5637,8,0.7062,0.3654,40,7.9,4.5,0.71351,0.875,14893.85
2023H1,credit_card,3409.96,365.68,0.1072,4,0.364,0.2084,46,7.6,0.6,0.78108,0.8046,2743.49
2019H2,overdraft,7376.97,796.35,0.108,6,0.3091,0.4434,49,6.9,1.9,0.42451,0.4866,3589.89
2021H2,credit_card,1544.79,608.23,0.3937,6,0.5236,0.5134,36,7.9,4.5,0.52813,0.7139,1102.85
2019H2,credit_card,6385.72,1559.57,0.2442,7,0.4705,0.2401,55,6.9,1.9,0.371,0.5246,3350.05
2019H2,overdraft,5359.73,315.41,0.0588,6,0.6456,0.6578,54,6.9,1.9,0.59445,0.6183,3313.99
2023H1,credit_card,3635.34,2057.56,0.566,6,0.2936,0.2506,50,7.6,0.6,0.29485,0.694,2522.78
2023H1,overdraft,3567.93,358.75,0.1005,12,0.2282,0.3735,57,7.6,0.6,0.71299,0.7418,2646.87
